code,title,author,publisher,user_num,lang,type,year,summary,book_ISBN,,,
1,스프링 부트 핵심 가이드 : 스프링 부트를 활용한 애플리케이션 개발 실무,장정우,이지스퍼블리싱,,kr,단행본 ,2022,"입문자의 눈높이에 맞춰 차근차근 따라 하면서 배우는 스프링 부트 입문서!

《스프링 부트 핵심 가이드》는 스프링 부트 기반의 애플리케이션을 개발할 때 필요한 기초적인 내용들을 소개하고, 스프링에서 제공하는 각종 라이브러리의 기능들을 이해할 수 있게 동작 원리를 상세히 설명한다. 또한 ‘스프링 부트’다운 코드를 작성하는 방법에 초점을 맞춰 스프링 부트에서 제공하는 편의 기능들을 최대한 활용하고, 스프링 부트 기반의 애플리케이션을 어떻게 설계하고 구현하는지 안내한다.",979000,,,
2,교사가 말하는 교사 교사가 꿈꾸는 교사,권재원,서울: 북멘토,,en,단행본 ,2015,"교육칼럼니스트이자 현직교사인 권재원의 교육에세이집!

『교사가 말하는 교사 교사가 꿈꾸는 교사』는 대한민국 공교육의 실체를 적나라하게 해부하고 오늘날 학교에서 벌어지고 있는 여러 부조리한 현상에 대한 비판과 더불어 그 해법과 대안 제시까지 특유의 날카롭고 분석적이면서 유려한 문체로 진보와 보수 모두에게 불편한 공감을 이끌어 냈던 《학교라는 괴물》에 이은 두 번째 교육에세이집이다.

전작이 학교와 공교육의 현주소에 대한 비판이었다면 이번에는 ‘교사가 말하는 교사 교사가 꿈꾸는 교사’는 제목 그대로 ‘교사’로 살고 있는 데 대한 무한한 자긍심에 바탕해, 같은 길을 가고 있고 또 가려는 이들을 향한 뜨거운 지지와 연대의 마음이 편지글의 형식으로 담겨 있다. 도대체 교사란 무엇이며, 무엇을 하는 사람이며 무엇을 해야 하는 사람인지에 대한 저자의 생각을 읽을 수 있다.",987374, 같은 길을 가고 있고 또 가려는 이들을 향한 뜨거운 지지와 연대의 마음이 편지글의 형식으로 담겨 있다. 도대체 교사란 무엇이며," 무엇을 하는 사람이며 무엇을 해야 하는 사람인지에 대한 저자의 생각을 읽을 수 있다.""",987374
3,유아교사론,박은혜,서울: 창지사,,jp,단행본 ,2006,"최근 우리 사회의 가장 큰 화두는 ‘저출생 고령화 사회로의 급속한 변화에 어떻게 대처할 것인가’ 하는 것이다. 다자녀 출산이 자연스러웠던 과거에는 자녀 양육과 교육에 대한 부모의 역할을 수행하고 책임지는 것이 매우 자연스러운 일이었다. 하지만 최근 부모 역할 수행에 대한 부담, 즉 자녀교육에 대한 부담이 저출생 현상의 큰 요인으로 대두되면서 영유아교육기관이 담당해야 하는 교육과 돌봄의 범위와 강도는 점점 높아지고 있다. 특히 이러한 사회적 흐름은 영유아의 돌봄과 교육을 맡은 교사들에게 역할의 다각화와 전문화를 필수적으로 요구하게 되었다. 이제 영유아교사는 유아의 발달 특성을 이해하고 교육과정을 잘 수행하는 것을 넘어 영유아의 정서를 살피고 부모의 개별 요구에도 귀를 기울이고 수행해야 하는 상황이 된 것이다.
이 책은 이러한 현실적 요구, 즉 교육과정 운영뿐 아니라 정서적 민감성, 다양한 부모의 특성을 이해하고 협력할 수 있는 교사들의 능력에 대한 사회적 요구에 부응할 수 있도록 하기 위해 기획된 만큼 예비유아교사들에게 가장 필요한 내용과 구성을 염두에 두고 집필진들의 수 차례에 걸친 논의와 연구를 거쳐 다음과 같은 부분에 초점을 두고 전체 내용을 구성하였다.",987375,,,
4,생활코딩! 파이썬,이고잉,김포: 범,,ch,연간물,2020,"생활코딩은 일반인에게 프로그래밍을 교육하기 위한 목적의 비영리 프로젝트입니다. 이 책은 생활코딩에서 제공하는 파이썬 강좌를 정리하여 다듬은 책입니다. 그리고 심도 있는 실습을 위해 생활코딩에는 없는 실습 챌린지를 포함합니다. 2장은 파이썬 언어의 문법과 기능을 다룹니다. 파이썬을 처음 접하는 초심자의 눈높이에 적합하게 구성되어 있습니다. 빠르게 무엇인가를 만들어 볼 수 있는 최소한의 도구를 학습하는 것이 목적이기에 필요성에 따른 핵심적인 내용을 중점으로 다룹니다. 3장에는 실습을 위해 코딩테스트 챌린지를 수록하였습니다. 실제 5시간 동안 치러진 7개의 챌린지를 공략합니다. 각 챌린지는 시간의 흐름에 따라 분석→설계→구현&검증 단계로 구분되어 진행되며, 필요 시점에 구체적인 팁을 제공하여 학습 간 편의를 더하였습니다. 특히 코드를 작성하는 과정이 1인칭 시점으로 전개되고 각 코드에 대한 설명이 포함되는 특징이 있습니다.",987376,,,
5,엔트리파이선 : 블록 코딩에서 텍스트 코딩으로!,김민성,브라운미디어,,kr,학위논문,2000,"엔트리파이선: 블록 코딩에서 텍스트 코딩으로!은 엔트리파이선 사용자들을 위한 책으로, 블록 코딩에서 텍스트 코딩으로의 전환에 대한 지침을 제공합니다. 이 책은 초보자들이 실제 개발 환경에서 프로그래밍을 구현하는 방법을 배우고자 하는 사람들에게 유용한 내용을 담고 있습니다. 엔트리파이선 사용자들이 텍스트 코딩의 장점을 이해하고 스스로 프로그래밍을 할 수 있도록 돕는데 초점을 맞추고 있습니다.",987377,,,
6,초등교사론,이영찬,스카이미디어,,kr,기사,2001,"초등교사론은 초등학교 교사들을 위한 교육 서적으로, 교사들이 교육 현장에서 직면하는 다양한 문제와 도전에 대해 다룹니다. 이 책은 교사들이 학생들의 학습을 지원하고 긍정적인 교실 분위기를 조성하기 위한 전략과 방법을 제시하며, 교사의 역할과 책임에 대한 이해를 높이는 데 초점을 맞추고 있습니다. 초등교사들의 전문성과 성장을 돕는데 도움이 되는 실용적인 가이드로 활용될 것입니다.",987378,,,
7,중등교사론,최준범,용당포,,kr,고서,2002,"중등교사론은 중등학교 교사들을 위한 교육 서적으로, 중등학교 교사들이 직면하는 고령화 사회와 청소년의 다양한 문제에 대해 다룹니다. 이 책은 교사들이 학생들의 성장과 발전을 돕기 위한 전략과 교육 방법을 제시하며, 중등학교 교육의 특징과 독특한 상황에 대한 이해를 높이는 데 초점을 맞추고 있습니다. 중등교사들의 역량 강화와 교육 현장에서의 성공적인 지도를 지원하는 데 도움이 될 것입니다.",987379,,,
8,고등교사론,박의준,의상사,,kr,기사,2003,"고등교사론은 고등학교 교사들을 위한 교육 서적으로, 고등학교 교사들이 직면하는 학업적 도전과 청소년 발달에 대해 다룹니다. 이 책은 교사들이 학생들의 학업 성취를 촉진하고 진로 지도를 위한 전략과 실용적인 교육 방법을 제시하며, 고등학교 교육의 특징과 독특한 상황에 대한 이해를 높이는 데 초점을 맞추고 있습니다. 고등교사들의 전문성과 교육 현장에서의 성공적인 지도를 지원하는 데 도움이 될 것입니다.",987380,,,
9,생활코딩! C,최용준,의준상사,,jp,기사,2004,"생활코딩! C는 C 프로그래밍을 배우고자 하는 독자들을 위한 입문서입니다. 이 책은 생활코딩의 특징적인 스타일과 방법론을 통해 C 언어의 기초 개념과 문법을 소개합니다. 초보자들이 실제로 코드를 작성하고 실행해보며 C 프로그래밍의 핵심 원리를 익힐 수 있는 실습 예제와 도전 과제가 풍부하게 제공됩니다. ""생활코딩! C""는 프로그래밍에 대한 직관적인 이해와 실전 코딩 능력 향상을 위한 동반자가 될 것입니다.",987381,,,
10,생활코딩! 자바,김영찬,의당포,,kr,기사,2005,"생활코딩! 자바는 자바 프로그래밍을 배우고자 하는 독자들을 위한 입문서입니다. 이 책은 생활코딩의 친절하고 쉬운 설명을 통해 자바의 기본 개념과 문법을 소개합니다. 초보자들은 실제 코드 작성과 실행을 통해 자바 프로그래밍의 기초를 익힐 수 있으며, 다양한 예제와 실습 과제를 통해 실전 코딩 능력을 키울 수 있습니다. ""생활코딩! 자바""는 자바 프로그래밍 학습을 원하는 독자들에게 친절한 안내서가 될 것입니다.",987382,,,
11,생활코딩! 리액트,김준범,민상사,,kr,기사,2006,"생활코딩! 리액트는 리액트(React) 웹 프레임워크를 배우고자 하는 독자들을 위한 실용적인 입문서입니다. 이 책은 생활코딩의 차분하고 친절한 설명을 통해 리액트의 기본 개념과 컴포넌트 기반 웹 개발 방법을 소개합니다. 초보자들은 실제로 리액트 앱을 개발하고 동작시키며, 상호작용적이고 동적인 웹 페이지를 구현하는 방법을 습득할 수 있습니다. ""생활코딩! 리액트""는 웹 개발자를 지향하는 독자들에게 실전적인 리액트 스킬을 전달하는데 유용한 안내서가 될 것입니다.",987383,,,
12,생활코딩! 라즈베리파이,김의준,민성상사,,kr,기사,2007,"생활코딩! 라즈베리파이는 라즈베리파이(Raspberry Pi)를 활용하여 컴퓨터와 전자 기기를 만들고 프로그래밍하는 방법을 배우고자 하는 독자들을 위한 실용적인 입문서입니다. 이 책은 생활코딩의 쉽고 친절한 접근 방식을 통해 라즈베리파이의 기초 개념과 다양한 활용법을 소개합니다. 초보자들은 실제로 라즈베리파이를 구성하고 프로젝트를 진행하며, 컴퓨터 과학 및 전자 공학에 대한 이해와 실전 프로그래밍 능력을 향상시킬 수 있습니다. ""생활코딩! 라즈베리파이""는 라즈베리파이에 관심이 있는 독자들에게 유용한 안내서가 될 것입니다.",987384,,,
13,생활코딩! 리눅스,김용준,민당포,,kr,고서,2008,"생활코딩! 리눅스는 리눅스 운영 체제에 대해 배우고자 하는 독자들을 위한 입문서입니다. 이 책은 생활코딩의 친절하고 실용적인 접근 방식을 통해 리눅스의 기본 개념과 명령어, 파일 시스템 등을 소개합니다. 초보자들은 실제로 리눅스 환경을 구축하고 명령어를 실행하며, 리눅스 시스템 관리 및 활용에 대한 기초를 익힐 수 있습니다. ""생활코딩! 리눅스""는 리눅스에 대한 이해와 실제 활용 능력을 키우고자 하는 독자들에게 유용한 안내서가 될 것입니다.",987385,,,
14,깡샘의 안드로이드 앱 프로그래밍 with 코틀린,이민성,범상사,,kr,고서,2009,"깡샘의 안드로이드 앱 프로그래밍 with 코틀린은 안드로이드 앱 개발에 관심 있는 독자들을 위한 실용적인 안내서입니다. 이 책은 깡샘의 유쾌하고 쉬운 설명을 통해 안드로이드 앱 개발의 기본 개념과 코틀린(Kotlin) 프로그래밍 언어를 활용하는 방법을 소개합니다. 초보자들은 실제로 앱을 개발하고 실행해보며, 안드로이드 플랫폼에서의 앱 개발에 대한 이해와 실전 프로그래밍 능력을 향상시킬 수 있습니다. ""깡샘의 안드로이드 앱 프로그래밍 with 코틀린""은 안드로이드 앱 개발을 시작하고자 하는 독자들에게 유용한 안내서가 될 것입니다.",987386,,,
15,용쌤의 안드로이드 앱 프로그래밍 with 스프링,이준범,준범상사,,kr,고서,2010,"용쌤의 안드로이드 앱 프로그래밍 with 스프링은 안드로이드 앱 개발과 스프링(Spring) 프레임워크의 결합에 관심 있는 독자들을 위한 실용적인 안내서입니다. 이 책은 용쌤의 명쾌하고 체계적인 설명을 통해 안드로이드 앱 개발과 스프링의 통합을 위한 기술과 방법을 소개합니다. 초보자들은 실제로 앱 개발과 백엔드 서버 구축을 경험하며, 안드로이드 앱과 스프링을 함께 활용하는 실전 프로그래밍 능력을 향상시킬 수 있습니다. ""용쌤의 안드로이드 앱 프로그래밍 with 스프링""은 안드로이드와 스프링을 동시에 다루고자 하는 독자들에게 유용한 안내서가 될 것입니다.",987387,,,
16,용쌤의 안드로이드 앱 프로그래밍 with 자바,이의준,범당포,,kr,고서,2011,"용쌤의 안드로이드 앱 프로그래밍 with 자바는 자바(Java)를 활용한 안드로이드 앱 개발에 관심 있는 독자들을 위한 실용적인 안내서입니다. 이 책은 용쌤의 친절하고 명확한 설명을 통해 안드로이드 앱 개발의 기본 개념과 자바 프로그래밍 언어를 활용하는 방법을 소개합니다. 초보자들은 실제로 앱을 개발하고 실행해보며, 안드로이드 플랫폼에서의 앱 개발에 대한 이해와 자바 프로그래밍 능력을 향상시킬 수 있습니다. ""용쌤의 안드로이드 앱 프로그래밍 with 자바""는 안드로이드 앱 개발을 자바를 기반으로 시작하고자 하는 독자들에게 유용한 안내서가 될 것입니다.",987388,,,
17,용쌤의 프로그래밍 with 파이썬,이용준,찬상사,,kr,연간물,2012,"용쌤의 프로그래밍 with 파이썬은 프로그래밍에 관심 있는 독자들을 위한 실용적인 안내서입니다. 이 책은 용쌤의 친절하고 쉬운 설명을 통해 파이썬(Python) 프로그래밍의 기초 개념과 문법을 소개합니다. 초보자들은 실제로 코드를 작성하고 실행해보며, 프로그래밍의 핵심 원리와 문제 해결 능력을 향상시킬 수 있습니다. ""용쌤의 프로그래밍 with 파이썬""은 프로그래밍을 배우고자 하는 독자들에게 유용한 안내서가 될 것입니다.",987389,,,
18,용쌤의 프로그래밍 with C,박민성,영찬상사,,kr,연간물,2013,"용쌤의 프로그래밍 with C는 프로그래밍에 관심 있는 독자들을 위한 실용적인 안내서입니다. 이 책은 용쌤의 친절하고 명확한 설명을 통해 C 프로그래밍의 기초 개념과 문법을 소개합니다. 초보자들은 실제로 코드를 작성하고 실행해보며, 프로그래밍의 핵심 원리와 절차적 프로그래밍 능력을 향상시킬 수 있습니다. ""용쌤의 프로그래밍 with C""는 C 프로그래밍을 배우고자 하는 독자들에게 유용한 안내서가 될 것입니다.",987390,,,
19,용쌤의 프로그래밍 with 자바,박용준,그라운미디어,,kr,연간물,2014,"용쌤의 프로그래밍 with 자바는 프로그래밍에 관심 있는 독자들을 위한 실용적인 안내서입니다. 이 책은 용쌤의 친절하고 명확한 설명을 통해 자바(Java) 프로그래밍의 기초 개념과 객체 지향 프로그래밍을 소개합니다. 초보자들은 실제로 코드를 작성하고 실행해보며, 프로그래밍의 기본 원리와 자바 프로그래밍 능력을 향상시킬 수 있습니다. ""용쌤의 프로그래밍 with 자바""는 자바를 기반으로 프로그래밍을 배우고자 하는 독자들에게 유용한 안내서가 될 것입니다.",987391,,,
20,C언어 콘서트,박영찬,블루미디어,,kr,연간물,2015,"C언어 콘서트는 C 언어에 대한 흥미로운 여정을 안내하는 책입니다. 이 책은 콘서트를 테마로 하여 C 언어의 기초부터 고급 개념까지 다양한 주제를 다룹니다. 초보자들은 C 언어를 배우고 실전 예제를 통해 실력을 향상시킬 수 있으며, 전문가들도 새로운 아이디어와 도전적인 프로그래밍 기법을 얻을 수 있습니다. ""C언어 콘서트""는 C 언어를 다양하고 흥미로운 방식으로 소개하며, 모든 독자들에게 유익한 프로그래밍 여행을 제공합니다.",987392,,,
21,파이썬 콘서트,박준범,가천대학교,,kr,단행본 ,2016,"파이썬 콘서트는 파이썬(Python) 프로그래밍에 대한 흥미로운 여정을 안내하는 책입니다. 이 책은 콘서트를 테마로 하여 파이썬의 기초부터 심화 내용까지 다양한 주제를 다룹니다. 초보자들은 파이썬을 배우고 실전 예제를 통해 프로그래밍 실력을 향상시킬 수 있으며, 전문가들도 새로운 아이디어와 도전적인 프로그래밍 기법을 얻을 수 있습니다. ""파이썬 콘서트""는 파이썬을 다양하고 흥미로운 방식으로 소개하며, 모든 독자들에게 유익한 프로그래밍 여행을 제공합니다.",987393,,,
22,자바 콘서트,서민성,한빛미디어,,kr,단행본 ,2017,"자바 콘서트는 자바(Java) 프로그래밍에 대한 흥미로운 여정을 안내하는 책입니다. 이 책은 콘서트를 테마로 하여 자바의 기초부터 심화 내용까지 다양한 주제를 다룹니다. 초보자들은 자바를 배우고 실전 예제를 통해 프로그래밍 실력을 향상시킬 수 있으며, 전문가들도 새로운 아이디어와 도전적인 프로그래밍 기법을 얻을 수 있습니다. ""자바 콘서트""는 자바를 다양하고 흥미로운 방식으로 소개하며, 모든 독자들에게 유익한 프로그래밍 여행을 제공합니다.",987394,,,
23,코틀린 콘서트,서의준,금빛미디어,,kr,단행본 ,2018,"코틀린 콘서트는 코틀린(Kotlin) 프로그래밍에 대한 흥미로운 여정을 안내하는 책입니다. 이 책은 콘서트를 테마로 하여 코틀린의 기초부터 고급 개념까지 다양한 주제를 다룹니다. 초보자들은 코틀린을 배우고 실전 예제를 통해 프로그래밍 실력을 향상시킬 수 있으며, 전문가들도 새로운 아이디어와 도전적인 프로그래밍 기법을 얻을 수 있습니다. ""코틀린 콘서트""는 코틀린을 다양하고 흥미로운 방식으로 소개하며, 모든 독자들에게 유익한 프로그래밍 여행을 제공합니다.",987395,,,
24,스프링 콘서트,서영찬,은빛미디어,,kr,단행본 ,2019,"스프링 콘서트는 스프링(Spring) 프레임워크에 대한 흥미로운 여정을 안내하는 책입니다. 이 책은 콘서트를 테마로 하여 스프링의 기초부터 고급 개념까지 다양한 주제를 다룹니다. 초보자들은 스프링을 배우고 실전 예제를 통해 프로그래밍 실력을 향상시킬 수 있으며, 전문가들도 새로운 아이디어와 도전적인 개발 기법을 얻을 수 있습니다. ""스프링 콘서트""는 스프링을 다양하고 흥미로운 방식으로 소개하며, 모든 독자들에게 유익한 개발 여행을 제공합니다.",987396,,,
25,모두의 파이썬,서준범,오렌지미디어,,kr,단행본 ,2020,"모두의 파이썬은 프로그래밍 초보자들을 위한 입문서로, 친절하고 쉬운 설명을 통해 파이썬(Python) 언어를 소개합니다. 이 책은 다양한 예제와 실습을 통해 독자들이 쉽게 프로그래밍 기초를 익힐 수 있도록 도와줍니다. 파이썬을 처음 접하는 독자들에게 친근한 안내서로서 많은 독자들에게 인기를 얻고 있습니다.",987397,,,
26,모두의 C,최민성,옐로미디어,,kr,단행본 ,2021,"모두의 C는 프로그래밍 초보자들을 위한 입문서로, 친절하고 쉬운 설명을 통해 C 언어를 소개합니다. 이 책은 다양한 예제와 실습을 통해 독자들이 쉽게 프로그래밍 기초를 익힐 수 있도록 도와줍니다. C 언어를 처음 접하는 독자들에게 친근한 안내서로서 많은 독자들에게 인기를 얻고 있습니다.",987398,,,
27,모두의 자바,최영찬,레드미디어,,kr,단행본 ,2022,"모두의 자바는 프로그래밍 초보자들을 위한 입문서로, 친절하고 쉬운 설명을 통해 자바(Java) 언어를 소개합니다. 이 책은 다양한 예제와 실습을 통해 독자들이 쉽게 프로그래밍 기초를 익힐 수 있도록 도와줍니다. 자바를 처음 접하는 독자들에게 친근한 안내서로서 많은 독자들에게 인기를 얻고 있습니다.",987399,,,
28,모두의 코틀린,최의준,블루미디어,,kr,단행본 ,2023,"모두의 코틀린은 프로그래밍 초보자들을 위한 입문서로, 친절하고 쉬운 설명을 통해 코틀린(Kotlin) 언어를 소개합니다. 이 책은 다양한 예제와 실습을 통해 독자들이 쉽게 프로그래밍 기초를 익힐 수 있도록 도와줍니다. 코틀린을 처음 접하는 독자들에게 친근한 안내서로서 많은 독자들에게 인기를 얻고 있습니다.",987400,,,
29,용준이와 함께하는 컴퓨터 조립,서용준,화이트미디어,,kr,학위논문,2024,"용준이와 함께하는 컴퓨터 조립은 컴퓨터 조립에 관심 있는 독자들을 위한 가이드북입니다. 이 책은 용준이와 함께 실전 예제를 통해 컴퓨터 조립의 기초부터 고급 기술까지 배울 수 있도록 도와줍니다. 컴퓨터 하드웨어를 다루는 과정에서 소프트웨어 설치와 유지보수까지 포괄적인 내용을 다루며, 초보자부터 전문가까지 모두에게 유익한 정보를 제공합니다.",987401,,,
